nconst,nconst_rating
nm0000002,7.537273771697488
nm0000003,7.255458823529411
nm0000004,7.585644647710464
nm0000005,8.1
nm0000006,8.32536616686578
nm0000008,8.921051699358312
nm0000009,7.58191216864318
nm0000011,7.861560383386581
nm0000012,8.086338549178947
nm0000013,7.365833248808197
nm0000014,8.144250732741071
nm0000015,7.6524669274577315
nm0000016,7.521799492449336
nm0000017,8.211578235297802
nm0000018,8.159565619822711
nm0000019,8.001845051624102
nm0000020,8.813972899762994
nm0000021,7.911598134276204
nm0000022,8.135301478702273
nm0000023,8.079586137478644
nm0000024,7.28125524156225
nm0000025,7.888299902496025
nm0000026,8.096361975330039
nm0000027,8.528125338853265
nm0000028,7.468134565202059
nm0000029,4.584708948740226
nm0000030,7.798926974902293
nm0000031,7.780419437719714
nm0000032,7.934080250523497
nm0000034,8.155628646360903
nm0000035,7.8051391360109825
nm0000037,8.110930157063933
nm0000038,8.310045949501829
nm0000039,7.531381402995704
nm0000040,8.28593235285424
nm0000041,8.425579775939346
nm0000042,7.488186548782278
nm0000043,7.550593059013033
nm0000044,8.004405534667217
nm0000045,7.36773125541804
nm0000046,8.1033534999651
nm0000047,7.567513590974228
nm0000048,8.33948450111498
nm0000049,6.983931916619933
nm0000051,8.061665088576992
nm0000052,7.986860491113015
nm0000053,7.878983974763407
nm0000054,7.911886152320573
nm0000055,8.159538755739788
nm0000056,7.739282772543101
nm0000057,7.050612143626961
nm0000058,7.682009915725144
nm0000059,7.807013064280226
nm0000060,8.078078991415753
nm0000061,8.310526629555937
nm0000062,5.942815431446854
nm0000063,8.20485152842323
nm0000065,9.063209466335202
nm0000066,7.04372047458365
nm0000067,8.088579361558137
nm0000069,7.7223246845789495
nm0000071,8.191300142075512
nm0000072,7.731941815731094
nm0000073,7.055591501267814
nm0000074,7.7728536447139085
nm0000075,8.05932777619375
nm0000076,7.788266399594295
nm0000077,8.145343966116277
nm0000078,7.734843131785828
nm0000079,6.584240646166106
nm0000080,8.180353467243949
nm0000081,7.6026335686554365
nm0000084,6.896297078352875
nm0000085,6.400283577104615
nm0000086,6.957630322323916
nm0000087,6.215209790209791
nm0000088,7.876573426573426
nm0000089,7.257142857142856
nm0000090,7.28122808760099
nm0000091,6.834628636860459
nm0000092,8.20073512709134
nm0000093,7.282927141860848
nm0000095,7.857975073995532
nm0000096,8.142297925146247
nm0000097,4.976073896300479
nm0000098,7.9957752861699065
nm0000099,7.693609988448457
nm0000100,7.8987789370366945
nm0000101,7.418966628041448
nm0000102,7.321429861162629
nm0000103,8.223809854926293
nm0000104,7.036439838105685
nm0000105,6.921320443230253
nm0000106,6.414043371372568
nm0000107,7.6720442330649234
nm0000108,7.79192710106545
nm0000109,6.158813762477404
nm0000110,6.814061925271239
nm0000111,7.494184074016406
nm0000112,6.511115650563626
nm0000113,7.252789037437268
nm0000114,8.10658082762191
nm0000115,7.184361764398659
nm0000116,8.089418038171651
nm0000117,6.694081134811951
nm0000118,7.351294150960423
nm0000119,7.212867839938951
nm0000120,7.5498799893782635
nm0000121,7.093071190908994
nm0000123,7.2784434001946945
nm0000124,7.886501876718841
nm0000125,7.533151369041033
nm0000126,7.126307406307729
nm0000127,7.260266763713665
nm0000128,8.265392676217795
nm0000129,7.051900089578822
nm0000130,7.292532026437961
nm0000131,7.113593877133537
nm0000132,7.680354718574045
nm0000133,7.387635896202861
nm0000134,8.077080375283272
nm0000135,6.698741498172397
nm0000136,7.568723292900471
nm0000137,6.531846746786657
nm0000138,8.431361291103988
nm0000139,6.606826942628589
nm0000140,7.281033224896916
nm0000141,7.82444776815641
nm0000142,8.099860358381433
nm0000143,7.488202631280641
nm0000144,7.581461044926672
nm0000145,8.058804932026558
nm0000146,8.549969865639184
nm0000147,7.676282069106143
nm0000148,8.398969964697073
nm0000149,8.310361547760705
nm0000150,8.2123672936737
nm0000151,8.333527420734171
nm0000152,7.0111355975275735
nm0000153,6.946481328842351
nm0000154,7.925724162084353
nm0000155,6.90575310660074
nm0000156,7.855659979361184
nm0000157,8.106192072543331
nm0000158,8.518223047740653
nm0000159,6.586864951191881
nm0000160,7.923554141154805
nm0000161,6.348410078857309
nm0000162,7.040924078784169
nm0000163,7.9134762251403235
nm0000164,8.23065509071467
nm0000165,8.169760917517447
nm0000166,7.5013849858605335
nm0000167,6.615918739720797
nm0000168,8.209118602499332
