tconst,avg(nconst_rating)
tt0016029,7.074923230834693
tt0017009,8.246043579516558
tt0017534,7.443602872263254
tt0017637,7.861560383386581
tt0017668,7.391269005445723
tt0017676,6.8452146348012
tt0017707,7.390918943630763
tt0017714,8.246043579516558
tt0017722,6.651082433594746
tt0017726,7.046528686638756
tt0017736,7.071586769125432
tt0017738,7.388496050069483
tt0017751,7.357431275045134
tt0017755,7.636251797411727
tt0017758,7.025286953503968
tt0017826,8.070186098297421
tt0017856,7.636251797411727
tt0017883,6.767829755529529
tt0017894,7.863309833808194
tt0017898,7.719424501970255
tt0017906,5.947549770290966
tt0017928,7.305661280518758
tt0017934,8.054465984908528
tt0017935,7.289911089834793
tt0017958,7.299954260232966
tt0018016,6.783055975777728
tt0018018,7.935047471238627
tt0018022,7.842110082438278
tt0018033,7.461931598430852
tt0018059,7.035230954185163
tt0018080,6.2260504619635615
tt0018107,7.547304096119827
tt0018118,7.069870769744719
tt0018131,6.721211653138669
tt0018146,7.410988410350863
tt0018173,7.433122168755837
tt0018192,8.457700494074393
tt0018199,7.6197248144862275
tt0018205,7.971007305838254
tt0018211,7.636251797411727
tt0018252,7.319565726230115
tt0018272,7.966136140783695
tt0018318,6.551151420252979
tt0018335,7.124887952242091
tt0018343,7.081610523991006
tt0018345,6.202805619733941
tt0018355,7.9111839865835325
tt0018367,7.127941829321954
tt0018383,6.9679699799529455
tt0018392,7.687559067692594
tt0018407,7.9667507659589765
tt0018424,8.186603173935342
tt0018440,7.496805237020736
tt0018456,6.777877955212285
tt0018465,7.903151875315356
tt0018489,7.677504409819197
tt0018513,7.278997091783979
tt0018515,7.912708822690053
tt0018523,7.017324327230255
tt0018525,6.523806533412291
tt0018528,7.7139372750662085
tt0018543,6.98542906017968
tt0018578,7.514273878284232
tt0018579,7.903151875315356
tt0018588,8.211578235297802
tt0018590,7.4810555177724325
tt0018618,7.051575937657677
tt0018653,6.732893523380509
tt0018674,6.852430003472641
tt0018681,7.861560383386581
tt0018684,7.636251797411727
tt0018693,7.9111839865835325
tt0018694,6.602238508376567
tt0018707,6.376891637889638
tt0018713,6.9292034477978355
tt0018719,6.6159805252541375
tt0018727,7.111292281613379
tt0018737,7.662411612991578
tt0018770,7.814641638919594
tt0018804,7.202325696673579
tt0018806,8.187922529126363
tt0018818,6.373967425618489
tt0018826,7.811488519518368
tt0018836,6.9788493166486845
tt0018839,7.394122602354915
tt0018840,6.96398419256332
tt0018846,7.861560383386581
tt0018850,7.156773206246449
tt0018851,7.912708822690053
tt0018855,6.800897437319359
tt0018861,6.855685652354195
tt0018874,6.503108602490051
tt0018880,7.036021229008215
tt0018892,7.184768093302902
tt0018896,7.658335977277882
tt0018910,7.903151875315356
tt0018929,6.723436676846605
tt0018937,6.865098998371743
tt0018971,7.305181113352276
tt0018987,7.912708822690053
tt0018999,7.5186419157297735
tt0019019,7.63066495365476
tt0019062,7.15922428929111
tt0019077,6.379187877956185
tt0019080,7.614680154572142
tt0019095,7.347710102012563
tt0019098,7.861560383386581
tt0019120,6.949385631780936
tt0019152,7.999033611419201
tt0019165,7.181607315570233
tt0019173,6.685801770424367
tt0019195,7.547304096119827
tt0019214,7.259859816695895
tt0019237,6.685850294663152
tt0019259,7.960173211117586
tt0019290,7.563454302540299
tt0019297,6.732893523380509
tt0019304,7.999033611419201
tt0019305,6.4214065277592915
tt0019312,7.01695499394036
tt0019313,7.418186257860007
tt0019320,6.529322977816386
tt0019335,7.9909910752723565
tt0019347,7.912708822690053
tt0019375,7.199734273325944
tt0019377,7.603272630433508
tt0019379,7.6591234296553266
tt0019391,7.520126484603888
tt0019417,7.173463141443083
tt0019471,6.79542647508346
tt0019472,6.541871299779007
tt0019481,7.265280449134481
tt0019489,6.908143803682293
tt0019497,7.856242568173305
tt0019509,7.20479492635392
tt0019530,6.223402290221376
tt0019545,6.676776830035518
tt0019549,7.554255306340854
tt0019568,7.345782083452594
tt0019585,8.202752003349907
tt0019591,7.3541591996668725
tt0019687,6.736787408901518
tt0019690,7.975134679669586
tt0019699,6.755104188413718
tt0019702,7.096235905364269
tt0019709,6.460473321686045
tt0019745,7.565001815203985
tt0019752,7.126265698982827
tt0019775,6.883205767370843
tt0019800,6.430446241892182
tt0019818,8.198882284856257
tt0019820,6.513546603041264
tt0019823,6.773607137871357
tt0019836,7.707235714806194
tt0019839,7.496805237020736
tt0019840,7.950768351874158
tt0019846,6.947110888205791
tt0019856,6.472567441368823
tt0019859,7.060560937391145
tt0019867,6.870528211597755
tt0019870,6.5806189818256255
tt0019872,6.97559871554805
tt0019889,6.715462573025926
tt0019895,7.41937614047858
tt0019914,6.418572182861746
tt0019918,7.776360944706084
tt0019927,6.330873801503625
tt0019928,7.133918454485323
tt0019935,7.600002594157671
tt0019945,7.175381772197166
tt0019949,7.419030395478608
tt0019958,7.0937633716483335
tt0019964,7.560940675829517
tt0019981,6.981993204983011
tt0019983,7.975134679669586
tt0019992,6.562787565723696
tt0020011,8.211578235297802
tt0020040,7.5377507505183186
tt0020044,6.77643584001846
tt0020062,7.721149297784887
tt0020072,6.9049881746961175
tt0020073,6.100971558282555
tt0020075,7.46157200972405
tt0020103,7.8204586057364995
tt0020135,7.356622585168482
tt0020163,7.421212579516352
tt0020166,7.150833131861467
tt0020174,6.153544430198983
tt0020187,7.138615405289035
tt0020197,7.872428982793306
tt0020216,7.102661973959016
tt0020247,6.946750529077413
tt0020305,6.459611128915235
tt0020320,6.730805644795616
tt0020328,5.965790064125762
tt0020334,6.7817082245784714
tt0020338,6.952972952390035
tt0020341,7.912708822690053
tt0020350,7.115051850243981
tt0020364,7.563039092974553
tt0020371,6.986260701687595
tt0020372,7.6363827361734575
tt0020373,6.825565683676737
tt0020388,6.575415173492905
tt0020410,6.567234368264643
tt0020412,7.1054701311678485
tt0020434,6.57266048699956
tt0020446,7.583820798257504
tt0020448,6.728843975792183
tt0020451,7.910491592667462
tt0020461,6.576404584100344
tt0020475,7.287102328349898
tt0020481,7.015155428142414
tt0020485,7.1356036327631855
tt0020494,6.9958658425372375
tt0020496,7.230209817943981
tt0020499,7.822406206623329
tt0020538,7.49193413938818
tt0020556,7.312018600924694
tt0020577,6.946002084734512
tt0020585,5.947549770290966
tt0020589,7.721149297784887
tt0020590,7.20778031671673
tt0020595,7.042751680886522
tt0020600,7.530104891500105
tt0020629,7.298553435696026
tt0020636,7.375780756052466
tt0020641,7.721149297784887
tt0020642,7.721149297784887
tt0020649,7.783958233782599
tt0020663,7.0184942696439725
tt0020690,7.41357980858179
tt0020691,6.030045501841764
tt0020697,8.211578235297802
tt0020719,6.940215014984858
tt0020727,7.52428269305035
tt0020731,7.731391231683217
tt0020746,7.3449337986709535
tt0020773,7.9111839865835325
tt0020781,6.591122215551439
tt0020790,7.8352783326617566
tt0020793,7.115051850243981
tt0020797,6.617506130447985
tt0020806,7.848657433129679
tt0020815,7.31376832800615
tt0020820,7.829117635655752
tt0020836,6.697935947582436
tt0020842,7.31726226869504
tt0020843,6.650743204983012
tt0020850,7.001971909524185
tt0020873,7.1443233606579355
tt0020875,7.95984275617347
tt0020895,6.470375010456532
tt0020935,7.83214033661514
tt0020953,7.244394387285379
tt0020960,7.238754908142566
tt0020968,6.995081444365442
tt0020985,7.615873436837932
tt0020999,7.022415445918797
tt0021003,7.9111839865835325
tt0021011,7.042640825563529
tt0021016,6.594719728293611
tt0021019,8.145343966116277
tt0021037,8.451205914003278
tt0021040,6.780620231419178
tt0021048,6.165763013495564
tt0021051,6.941418804967533
tt0021070,7.356622585168482
tt0021078,6.147058978922233
tt0021079,7.562134345395987
tt0021082,7.413165834352725
tt0021087,7.033639227285041
tt0021102,7.032872685106837
tt0021107,7.259520806018413
tt0021112,6.354265976612945
tt0021121,7.938439231206286
